name,player style,nationality,base price (in lacs),final price (in lacs),franchise,status
Mitchell Marsh,Allrounder,Australia,,650.0,DC,RETAINED
Karn Sharma,Bowler,India,,50.0,RCB,RETAINED
Chetan Sakariya,Bowler,India,,420.0,DC,RETAINED
Navdeep Saini,Bowler,India,,260.0,RR,RETAINED
Lungi Ngidi,Bowler,South Africa,,50.0,DC,RETAINED
Khaleel Ahmed,Bowler,India,,525.0,DC,RETAINED
Jayant Yadav,Allrounder,India,,170.0,GT,RETAINED
Vijay Shankar,Allrounder,India,,140.0,GT,RETAINED
Liam Livingstone,Allrounder,England,,1150.0,PBKS,RETAINED
David Willey,Allrounder,England,,200.0,RCB,RETAINED
Marco Jansen,Allrounder,South Africa,,420.0,SRH,RETAINED
Krishnappa Gowtham,Allrounder,India,,90.0,LSG,RETAINED
Karan Sharma,Allrounder,India,,20.0,LSG,RETAINED
Shivam Dube,Allrounder,India,,400.0,CSK,RETAINED
Mohd Arshad Khan,Bowler,India,,20.0,MI,RETAINED
Lalit Yadav,Allrounder,India,,65.0,DC,RETAINED
Baltej Singh,Allrounder,India,,20.0,PBKS,RETAINED
Aiden Markram,Batter,South Africa,,260.0,SRH,RETAINED
Kyle Mayers,Allrounder,West Indies,,50.0,LSG,RETAINED
Arjun Tendulkar,Allrounder,India,,30.0,MI,RETAINED
Hrithik Shokeen,Allrounder,India,,20.0,MI,RETAINED
Kuldip Yadav,Bowler,India,,20.0,RR,RETAINED
Wanindu Hasaranga,Allrounder,Sri Lanka,,1075.0,RCB,RETAINED
Devdutt Padikkal,Batter,India,,775.0,RR,RETAINED
David Miller,Batter,South Africa,,300.0,GT,RETAINED
Shimron Hetmyer,Batter,West Indies,,850.0,RR,RETAINED
David Warner,Batter,Australia,,625.0,DC,RETAINED
Mohammed Shami,Bowler,India,,625.0,GT,RETAINED
Kagiso Rabada,Bowler,South Africa,,925.0,PBKS,RETAINED
Shreyas Iyer,Batter,India,,1225.0,KKR,RETAINED
Faf du Plessis,Batter,South Africa,,700.0,RCB,RETAINED
Shikhar Dhawan,Batter,India,,825.0,PBKS,RETAINED
Quinton de Kock,WK-Batter,South Africa,,675.0,LSG,RETAINED
Trent Boult,Bowler,New Zealand,,800.0,RR,RETAINED
Umran Malik,Bowler,India,,400.0,SRH,RETAINED
Abdul Samad,Allrounder,India,,400.0,SRH,RETAINED
Ravichandran Ashwin,Allrounder,India,,500.0,RR,RETAINED
Mohammed Siraj,Bowler,India,,700.0,RCB,RETAINED
Glenn Maxwell,Allrounder,Australia,,1100.0,RCB,RETAINED
Virat Kohli,Batter,India,,1500.0,RCB,RETAINED
Yashasvi Jaiswal,Batter,India,,400.0,RR,RETAINED
Jos Buttler,WK-Batter,England,,1000.0,RR,RETAINED
Sanju Samson,WK-Batter,India,,1400.0,RR,RETAINED
Arshdeep Singh,Bowler,India,,400.0,PBKS,RETAINED
Suryakumar Yadav,Batter,India,,800.0,MI,RETAINED
Jasprit Bumrah,Bowler,India,,1200.0,MI,RETAINED
Akash Deep,Bowler,India,,20.0,RCB,RETAINED
Rohit Sharma,Batter,India,,1600.0,MI,RETAINED
Dwaine Pretorius,Allrounder,South Africa,,50.0,CSK,RETAINED
KL Rahul,WK-Batter,India,,1700.0,LSG,RETAINED
Marcus Stoinis,Allrounder,Australia,,919.9999999999999,LSG,RETAINED
Sunil Narine,Allrounder,West Indies,,600.0,KKR,RETAINED
Venkatesh Iyer,Allrounder,India,,800.0,KKR,RETAINED
Ravindra Jadeja,Allrounder,India,,1600.0,CSK,RETAINED
Varun Chakaravarthy,Bowler,India,,800.0,KKR,RETAINED
Andre Russell,Allrounder,West Indies,,1200.0,KKR,RETAINED
Shubman Gill,Batter,India,,800.0,GT,RETAINED
Rashid Khan,Bowler,Afghanistan,,1500.0,GT,RETAINED
Hardik Pandya,Allrounder,India,,1500.0,GT,RETAINED
Anrich Nortje,Bowler,South Africa,,650.0,DC,RETAINED
Prithvi Shaw,Batter,India,,750.0,DC,RETAINED
MS Dhoni,WK-Batter,India,,1200.0,CSK,RETAINED
Moeen Ali,Allrounder,England,,800.0,CSK,RETAINED
Ruturaj Gaikwad,Batter,India,,600.0,CSK,RETAINED
Rishabh Pant,WK-Batter,India,,1600.0,DC,RETAINED
Axar Patel,Allrounder,India,,900.0,DC,RETAINED
